dataset,seed,eps,mechanism,provenance,m_orig,m_released,auc_heur,auc_logreg,auc_degaware,auc_svd,auc_seed,auc_max,deg_dist_norm,clust_err,spec_err,comm_nmi_gt
ego-Facebook,0,0.5,PrivDPR,paper-derived-compatible-reimplementation,88234,88234,0.8046214999999999,0.8348420000000001,0.845908,0.783334,0.8368680000000001,0.845908,0.6116689711449104,0.4888661752283338,0.1092175344853465,
ego-Facebook,0,1.0,PrivGraph,official-core-sparse-reimplementation,88234,88222,0.673035,0.745016,0.8232959999999999,0.7181680000000001,0.7617980000000001,0.8232959999999999,0.2686719405217945,0.5700021453852012,0.4667222609220518,
ego-Facebook,0,1.0,DPGVAE,paper-derived-compatible-reimplementation,88234,88234,0.6177435,0.6639839999999999,0.850252,0.6840359999999999,0.684798,0.850252,0.4704989006505429,0.5544526087079618,0.6688627770907019,
ego-Facebook,0,1.0,DPGGAN,paper-derived-compatible-reimplementation,88234,88234,0.8128885,0.831818,0.834772,0.8018119999999999,0.8380365000000001,0.8380365000000001,0.5324251422354197,0.5197143657963434,0.0175407664538983,
ego-Facebook,0,1.0,GraphPub,paper-derived-compatible-reimplementation-no-public-code-found,88234,88283,0.804743,0.83532,0.848788,0.820964,0.8580360000000001,0.8580360000000001,0.0112428315615295,0.5417913911749945,0.1723471190965993,
ego-Facebook,0,1.0,PrivDPR,paper-derived-compatible-reimplementation,88234,88234,0.7964319999999999,0.8058459999999998,0.837684,0.786974,0.8216580000000001,0.837684,0.6083029217761865,0.5093490845855083,0.105953845231788,
ego-Facebook,0,2.0,PrivGraph,official-core-sparse-reimplementation,88234,88222,0.6617085,0.7388920000000001,0.8269899999999999,0.6815359999999999,0.7591055000000001,0.8269899999999999,0.2810594555386814,0.5681361633708756,0.4425353081071267,
ego-Facebook,0,2.0,DPGVAE,paper-derived-compatible-reimplementation,88234,88234,0.8239925,0.8475919999999999,0.853332,0.860296,0.831475,0.860296,0.332547544030646,0.5396807694487906,0.6113832359318133,
ego-Facebook,0,2.0,DPGGAN,paper-derived-compatible-reimplementation,88234,88234,0.808728,0.833076,0.85866,0.7762040000000001,0.8428159999999999,0.85866,0.5480993721241247,0.518357745236846,8.813844758615832e-06,
ego-Facebook,0,2.0,GraphPub,paper-derived-compatible-reimplementation-no-public-code-found,88234,88248,0.7789825,0.8182539999999999,0.80752,0.782996,0.8173515,0.8182539999999999,0.0109934945712537,0.5413563922174663,0.1731874707411619,
ego-Facebook,0,2.0,PrivDPR,paper-derived-compatible-reimplementation,88234,88234,0.8033155,0.83209,0.859076,0.7734739999999999,0.8355195,0.859076,0.6093002697372897,0.5033256858825436,0.1045519849249567,
ego-Facebook,1,0.5,PrivGraph,official-core-sparse-reimplementation,88234,88193,0.6690054999999999,0.708974,0.8214480000000001,0.669532,0.7472115,0.8214480000000001,0.2778634086633273,0.5692136899815299,0.4672822898133324,
ego-Facebook,1,0.5,DPGVAE,paper-derived-compatible-reimplementation,88234,88234,0.5258910000000001,0.527528,0.842004,0.51506,0.6072145,0.842004,0.5082167871795454,0.5551366433590561,0.6825962261502332,
ego-Facebook,1,0.5,DPGGAN,paper-derived-compatible-reimplementation,88234,88234,0.8115095,0.8433339999999999,0.842276,0.816258,0.8423905,0.8433339999999999,0.3645986807806518,0.4994382525294376,0.178948769273715,
ego-Facebook,1,0.5,GraphPub,paper-derived-compatible-reimplementation-no-public-code-found,88234,88746,0.8098675,0.8674780000000001,0.841352,0.838824,0.857432,0.8674780000000001,0.0129881904934605,0.5405019921720905,0.1713287119576022,
ego-Facebook,1,0.5,PrivDPR,paper-derived-compatible-reimplementation,88234,88234,0.7940179999999999,0.827962,0.8597079999999999,0.7812299999999999,0.8273659999999999,0.8597079999999999,0.6078949157920986,0.51387838867418,0.102224813910114,
ego-Facebook,1,1.0,PrivGraph,official-core-sparse-reimplementation,88234,88216,0.6539605000000001,0.7036300000000001,0.81394,0.6815640000000001,0.7386595,0.81394,0.2888795702336969,0.5694282527494579,0.4878594046937475,
ego-Facebook,1,1.0,DPGVAE,paper-derived-compatible-reimplementation,88234,88234,0.6178075,0.6512020000000001,0.8336679999999999,0.6609480000000001,0.6788695,0.8336679999999999,0.4710995761271166,0.5538191082791378,0.6690262685952364,
ego-Facebook,1,1.0,DPGGAN,paper-derived-compatible-reimplementation,88234,88234,0.79921,0.817744,0.865086,0.7772939999999999,0.8275385000000002,0.865086,0.540834598907451,0.51648300709793,0.0109936108823461,
ego-Facebook,1,1.0,GraphPub,paper-derived-compatible-reimplementation-no-public-code-found,88234,88304,0.8085985000000001,0.845326,0.841272,0.8256319999999999,0.849243,0.849243,0.0111974975632975,0.5458431599651135,0.171041065985404,
ego-Facebook,1,1.0,PrivDPR,paper-derived-compatible-reimplementation,88234,88234,0.8053614999999998,0.8318960000000001,0.8477020000000001,0.7787299999999999,0.8360985,0.8477020000000001,0.6088695967540861,0.507940528361891,0.1021683289810561,
ego-Facebook,1,2.0,PrivGraph,official-core-sparse-reimplementation,88234,88258,0.6811775,0.7343700000000001,0.85996,0.715932,0.7662049999999999,0.85996,0.2641498741981551,0.5676069825314449,0.437121861786949,
ego-Facebook,1,2.0,DPGVAE,paper-derived-compatible-reimplementation,88234,88234,0.814945,0.831416,0.8711840000000001,0.8703320000000001,0.8240224999999999,0.8711840000000001,0.3282294806990505,0.5373385740526173,0.6085844894665012,
ego-Facebook,1,2.0,DPGGAN,paper-derived-compatible-reimplementation,88234,88234,0.7969895,0.815342,0.845364,0.7847139999999998,0.8246290000000001,0.845364,0.5519754289729586,0.5182868333590024,0.0034667983377558,
ego-Facebook,1,2.0,GraphPub,paper-derived-compatible-reimplementation-no-public-code-found,88234,88276,0.811126,0.84897,0.8766480000000001,0.819572,0.861278,0.8766480000000001,0.0105514880884919,0.5439127361116167,0.1723446214535617,
