dataset,seed,eps,mechanism,sampler,eval_pos,mean_log_degree_product_gap,m_orig,m_released,auc_heur,auc_logreg,auc_degaware,auc_svd,auc_seed,auc_release_max,auc_aux_max,auc_max
email-Eu-core,1,0.5,edgeflip,degree_matched,1000,0.0565074399475543,16064,194742,0.6971750000000001,0.7187760000000001,0.7157439999999999,0.6073000000000001,0.669262,0.7187760000000001,0.7157439999999999,0.7187760000000001
email-Eu-core,1,1.0,tmf,degree_matched,1000,0.0565074399475543,16064,15940,0.580098,0.55505,0.555948,0.5473560000000001,0.6063775,0.580098,0.6063775,0.6063775
email-Eu-core,1,1.0,dk1dp,degree_matched,1000,0.0565074399475543,16064,14875,0.5058819999999999,0.521316,0.5182,0.5190359999999999,0.542732,0.521316,0.542732,0.542732
email-Eu-core,1,1.0,dk2dp,degree_matched,1000,0.0565074399475543,16064,16088,0.5211995,0.498982,0.535516,0.50166,0.566648,0.5211995,0.566648,0.566648
email-Eu-core,1,1.0,swap,degree_matched,1000,0.0565074399475543,16064,16064,0.8523864999999999,0.90806,0.90953,0.854724,0.8564464999999999,0.90806,0.90953,0.90953
email-Eu-core,1,1.0,edgeflip,degree_matched,1000,0.0565074399475543,16064,142585,0.7794679999999999,0.779952,0.791224,0.7113160000000001,0.7411150000000001,0.779952,0.791224,0.791224
email-Eu-core,1,2.0,tmf,degree_matched,1000,0.0565074399475543,16064,16073,0.637905,0.654146,0.6268640000000001,0.603,0.6394005,0.654146,0.6394005,0.654146
email-Eu-core,1,2.0,dk1dp,degree_matched,1000,0.0565074399475543,16064,14826,0.508934,0.483912,0.507744,0.463242,0.543612,0.508934,0.543612,0.543612
email-Eu-core,1,2.0,dk2dp,degree_matched,1000,0.0565074399475543,16064,16048,0.51927,0.5181260000000001,0.53732,0.502282,0.560385,0.51927,0.560385,0.560385
email-Eu-core,1,2.0,swap,degree_matched,1000,0.0565074399475543,16064,16064,0.9513079999999998,0.974488,0.977346,0.92928,0.9462665,0.974488,0.977346,0.977346
email-Eu-core,1,2.0,edgeflip,degree_matched,1000,0.0565074399475543,16064,72439,0.9171429999999998,0.934316,0.925064,0.8603759999999999,0.883109,0.934316,0.925064,0.934316
email-Eu-core,1,3.0,tmf,degree_matched,1000,0.0565074399475543,16064,16050,0.7539445,0.791728,0.7999919999999998,0.790636,0.713121,0.791728,0.7999919999999998,0.7999919999999998
email-Eu-core,1,3.0,dk1dp,degree_matched,1000,0.0565074399475543,16064,14837,0.5082535,0.519394,0.493572,0.47034,0.54278,0.519394,0.54278,0.54278
email-Eu-core,1,3.0,dk2dp,degree_matched,1000,0.0565074399475543,16064,16076,0.5088685000000001,0.481888,0.5083160000000001,0.5471400000000001,0.5428035,0.5471400000000001,0.5428035,0.5471400000000001
email-Eu-core,1,3.0,swap,degree_matched,1000,0.0565074399475543,16064,16064,0.977602,0.983988,0.983472,0.934912,0.978092,0.983988,0.983472,0.983988
email-Eu-core,1,3.0,edgeflip,degree_matched,1000,0.0565074399475543,16064,38231,0.970379,0.975452,0.978128,0.927236,0.949535,0.975452,0.978128,0.978128
email-Eu-core,1,5.0,tmf,degree_matched,1000,0.0565074399475543,16064,16043,0.9247335,0.945008,0.950628,0.915312,0.904129,0.945008,0.950628,0.950628
email-Eu-core,1,5.0,dk1dp,degree_matched,1000,0.0565074399475543,16064,14838,0.506336,0.486344,0.47085,0.508552,0.547278,0.508552,0.547278,0.547278
email-Eu-core,1,5.0,dk2dp,degree_matched,1000,0.0565074399475543,16064,16066,0.5124535,0.495928,0.506948,0.473916,0.560276,0.5124535,0.560276,0.560276
email-Eu-core,1,5.0,swap,degree_matched,1000,0.0565074399475543,16064,16064,0.998086,0.999252,0.9984,0.9496,0.997054,0.999252,0.9984,0.999252
email-Eu-core,1,5.0,edgeflip,degree_matched,1000,0.0565074399475543,16064,19315,0.994483,0.995388,0.992916,0.944228,0.992934,0.995388,0.992934,0.995388
email-Eu-core,2,0.5,tmf,degree_matched,1000,0.043215253560819,16064,15999,0.5265945,0.514378,0.515424,0.5053639999999999,0.6067075,0.5265945,0.6067075,0.6067075
email-Eu-core,2,0.5,dk1dp,degree_matched,1000,0.043215253560819,16064,15036,0.493618,0.4882119999999999,0.50034,0.52054,0.5539955000000001,0.52054,0.5539955000000001,0.5539955000000001
email-Eu-core,2,0.5,dk2dp,degree_matched,1000,0.043215253560819,16064,16087,0.5062435000000001,0.5164719999999999,0.498672,0.505948,0.5612245,0.5164719999999999,0.5612245,0.5612245
