dataset,seed,eps,mechanism,m_orig,m_released,auc_heur,auc_logreg,auc_degaware,auc_svd,auc_seed,auc_max,deg_dist_norm,clust_err,spec_err,comm_nmi_gt
ca-GrQc,2,1.0,dk1dp,14484,15316,0.577012875,0.7872469999999999,0.8009514999999999,0.759443,0.7893645,0.8009514999999999,0.140016570008285,0.5303865631475547,0.6115156948208261,
ca-GrQc,2,1.0,swap,14484,14484,0.966506375,0.9772854999999998,0.977515,0.882474,0.975645875,0.977515,0.0,0.3330394023739864,0.2170212419706411,
ca-GrQc,2,2.0,tmf,14484,14688,0.5037508749999999,0.5202815000000001,0.8282129999999999,0.5076245,0.6343681250000001,0.8282129999999999,0.5891328362330849,0.5366807219240951,0.8513315006677704,
ca-GrQc,2,2.0,dk1dp,14484,14578,0.574674,0.815101,0.8200284999999999,0.7831359999999999,0.81222775,0.8200284999999999,0.0608947804473902,0.5316839177019352,0.6148990957524603,
ca-GrQc,2,2.0,swap,14484,14484,0.993812,0.9926015,0.9921905,0.913128,0.994437875,0.994437875,0.0,0.1774008590009881,0.1064520298681958,
ca-GrQc,2,3.0,tmf,14484,14380,0.511803,0.5446955,0.8357825,0.5110605,0.63818075,0.8357825,0.5762910798122067,0.5355505631939365,0.8539163988923797,
ca-GrQc,2,3.0,dk1dp,14484,14433,0.5766979999999999,0.8218700000000001,0.8299135,0.7892790000000001,0.8281214999999998,0.8299135,0.0350041425020712,0.5300427735765202,0.6145341788329308,
ca-GrQc,2,3.0,swap,14484,14484,0.996232875,0.997786,0.9966455,0.9238265,0.996547125,0.997786,0.0,0.0826196775812647,0.0412952442934717,
ca-GrQc,2,5.0,tmf,14484,14461,0.61406175,0.6928535000000001,0.853885,0.673599,0.74031425,0.853885,0.5622756144711407,0.5342442139875873,0.8307163255889638,
ca-GrQc,2,5.0,dk1dp,14484,14427,0.579817,0.8224205000000001,0.8162630000000001,0.784487,0.8304167500000001,0.8304167500000001,0.0198840099420051,0.5264950269567696,0.6188361479791891,
ca-GrQc,2,5.0,swap,14484,14484,0.999241,0.9989865,0.999952,0.935212,0.99934175,0.999952,0.0,0.0092509162485152,0.0065998905074053,
com-DBLP,0,0.5,tmf,1049866,1049893,0.5,0.5284300000000001,0.841548,0.515352,0.5169855000000001,0.841548,0.5567005694060003,0.6351770350512084,0.9328835404814224,0.7849777321619463
com-DBLP,0,0.5,dk1dp,1049866,1173314,0.5035,0.7392480000000001,0.841114,0.6992860000000001,0.7373005,0.841114,0.2377150988792855,0.635037912888145,0.7879861221386185,0.775970453066464
com-DBLP,0,0.5,swap,1049866,1049866,0.9479285,0.963686,0.975766,0.8093359999999999,0.9707765,0.975766,0.0,0.4739763007554143,0.3604959522265801,0.7872964851981062
com-DBLP,0,1.0,tmf,1049866,1051099,0.5005,0.447062,0.847802,0.490888,0.4770515000000001,0.847802,0.5574740014439938,0.6351770350512084,0.9328344413361772,0.785138812089333
com-DBLP,0,1.0,dk1dp,1049866,1082845,0.5035,0.8235779999999999,0.836934,0.7500260000000001,0.8010290000000001,0.836934,0.0998603631320571,0.634975238900453,0.7930133945122411,0.7739825110430829
com-DBLP,0,1.0,swap,1049866,1049866,0.97892,0.990246,0.988732,0.803004,0.9875294999999998,0.990246,0.0,0.3850575936077964,0.2609977104570585,0.789221780122566
com-DBLP,0,2.0,tmf,1049866,1051293,0.5,0.50109,0.847426,0.5258079999999999,0.4924215,0.847426,0.5574082787708146,0.6351770350512084,0.9328161386610208,0.7857981635222544
com-DBLP,0,2.0,dk1dp,1049866,1056476,0.5035,0.7888900000000001,0.8064680000000001,0.7654700000000001,0.8032355,0.8064680000000001,0.0398346074641905,0.6331568982709921,0.7945908419364651,0.7751666506239315
com-DBLP,0,2.0,swap,1049866,1049866,0.991,0.99525,0.992372,0.822056,0.9934625,0.99525,0.0,0.2017922717516748,0.1137467536381003,0.7926384586891508
com-DBLP,0,3.0,tmf,1049866,1049426,0.5005,0.536906,0.864488,0.501492,0.472937,0.864488,0.5563081383719445,0.6351770350512084,0.932913170611946,0.7855846204954807
com-DBLP,0,3.0,dk1dp,1049866,1051977,0.502497,0.827448,0.83345,0.7811760000000001,0.826533,0.83345,0.0220351930627338,0.6348033045308429,0.794667165017268,0.7748843393858236
com-DBLP,0,3.0,swap,1049866,1049866,0.999,0.998854,0.998838,0.876728,0.9992195,0.9992195,0.0,0.080483166180264,0.0475479409439761,0.7952831621083136
com-DBLP,0,5.0,tmf,1049866,1049362,0.502,0.4904,0.8461180000000001,0.4964519999999999,0.5043019999999999,0.8461180000000001,0.5560204826139717,0.6351770350512084,0.932886722326461,0.7859886775559799
com-DBLP,0,5.0,dk1dp,1049866,1050355,0.5020005,0.821516,0.84163,0.755494,0.830507,0.84163,0.0098641159919457,0.6351362755063577,0.7947790499909921,0.7753476873627704
com-DBLP,0,5.0,swap,1049866,1049866,1.0,1.0,1.0,0.817016,0.99998,1.0,0.0,0.0145269364985254,0.0049517214026362,0.7959353622636761
ogbl-collab,0,0.5,tmf,967632,967606,0.5,0.4941399999999999,0.83893,0.50112,0.5001914999999999,0.83893,0.6155077550143034,0.7261179127435162,0.9390415228862136,
ogbl-collab,0,0.5,dk1dp,967632,1048628,0.5079994999999999,0.7846500000000001,0.832476,0.748632,0.7776694999999999,0.832476,0.1861286108768622,0.72600838970146,0.7897910566588363,
ogbl-collab,0,0.5,swap,967632,967632,0.9585,0.9793559999999998,0.979568,0.798688,0.9744835,0.979568,0.0,0.5728583469545028,0.3608099022856706,
ogbl-collab,0,1.0,tmf,967632,967189,0.5,0.502914,0.8405719999999999,0.487236,0.5073365,0.8405719999999999,0.6149517585197685,0.7260922717178752,0.9390227762353974,
ogbl-collab,0,1.0,dk1dp,967632,987502,0.5155,0.7936620000000001,0.83544,0.756116,0.7997965,0.83544,0.077821940572449,0.7257901565941226,0.7920363216115774,
ogbl-collab,0,1.0,swap,967632,967632,0.982,0.986868,0.98956,0.818936,0.9859435,0.98956,0.0,0.4579829825751167,0.2578133226888369,
ogbl-collab,0,2.0,tmf,967632,967790,0.5005,0.504778,0.856688,0.474804,0.491565,0.856688,0.6156493377647706,0.7261179127435162,0.9390200018723308,
ogbl-collab,0,2.0,dk1dp,967632,971264,0.508004,0.81509,0.8364199999999999,0.78464,0.8252685000000001,0.8364199999999999,0.0294223423780941,0.7256447239565768,0.7910540374512998,
ogbl-collab,0,2.0,swap,967632,967632,0.995,0.993594,0.999562,0.79221,0.9955985,0.999562,0.0,0.2410448819689361,0.1091574134393044,
ogbl-collab,0,3.0,tmf,967632,968548,0.5,0.4954439999999999,0.8244779999999998,0.490912,0.5019589999999999,0.8244779999999998,0.6165081353241733,0.7260876097132132,0.9389861363186076,
ogbl-collab,0,3.0,dk1dp,967632,968700,0.5095139999999999,0.827862,0.8317599999999999,0.767248,0.8255945,0.8317599999999999,0.0162696148949187,0.7258795405992464,0.7920090176954544,
ogbl-collab,0,3.0,swap,967632,967632,0.9995,0.999932,0.998126,0.798176,0.9988345,0.999932,0.0,0.0846231863811293,0.046441514400738,
ogbl-collab,0,5.0,tmf,967632,967964,0.5,0.4766159999999999,0.8352299999999999,0.4925839999999999,0.5143930000000001,0.8352299999999999,0.615199786695769,0.7260464841720876,0.9389776270126536,
ogbl-collab,0,5.0,dk1dp,967632,967686,0.5069935,0.8519880000000001,0.8409040000000001,0.7907160000000001,0.8482795,0.8519880000000001,0.0068218082907551,0.7260077189061539,0.791856646483189,
ogbl-collab,0,5.0,swap,967632,967632,1.0,1.0,0.999976,0.7747759999999999,0.99982,1.0,0.0,0.0126201459967708,0.0066382510783605,
com-DBLP,1,0.5,tmf,1049866,1048343,0.5005,0.4635559999999999,0.84426,0.489708,0.492568,0.84426,0.5563957686028501,0.6351770350512084,0.9329983787798682,0.7852829966346175
com-DBLP,1,0.5,dk1dp,1049866,1172073,0.5,0.7480239999999999,0.8213400000000001,0.7089380000000001,0.731943,0.8213400000000001,0.2373274303577789,0.6350389406351533,0.7876174802162005,0.7760422539587977
com-DBLP,1,0.5,swap,1049866,1049866,0.9425,0.98092,0.9747479999999998,0.7907599999999999,0.9730715,0.98092,0.0,0.4967448743888277,0.3619622948113318,0.7874913899577332
com-DBLP,1,1.0,tmf,1049866,1051001,0.5,0.485494,0.860066,0.509842,0.494354,0.860066,0.5568424922799672,0.6350262414004147,0.9327934547345618,0.785369031417743
com-DBLP,1,1.0,dk1dp,1049866,1083692,0.5025,0.7760460000000001,0.82525,0.7407219999999999,0.7720684999999999,0.82525,0.1003004192916049,0.6351658714263868,0.7929895422966536,0.7753794422521879
com-DBLP,1,1.0,swap,1049866,1049866,0.976976,0.991454,0.985886,0.802824,0.9864815,0.991454,0.0,0.3919257043802244,0.2600101916637548,0.7895832048219817
com-DBLP,1,2.0,tmf,1049866,1047058,0.5,0.547822,0.841042,0.525626,0.5354235,0.841042,0.5560404851666785,0.6351770350512084,0.9330869566935333,0.7857629008373325
com-DBLP,1,2.0,dk1dp,1049866,1055792,0.5025,0.800716,0.819284,0.749292,0.8183120000000002,0.819284,0.0389002025020337,0.6350861209845425,0.7942283558934016,0.775253200837427
com-DBLP,1,2.0,swap,1049866,1049866,0.9945,0.997384,0.998766,0.835088,0.9975965,0.998766,0.0,0.1857766962677166,0.1085795039266207,0.792591039320538
